Frame	CPU Total (ms)	CPU Boids (ms)	CPU Data Update (ms)	CPU Render Dispatch (ms)	GPU Render (ms)
320	2.3815	2.1194	0.0213	0.0475	0.131776
321	2.1644	2.7015	0.0243	0.0291	0.131328
322	2.1832	2.6974	0.0286	0.0318	0.131584
323	2.8347	2.4488	0.0218	0.0739	0.128352
324	2.8363	2.1428	0.0214	0.0735	0.130144
325	2.5716	2.1345	0.0215	0.0559	0.12864
326	2.2344	2.1027	0.023	0.0467	0.132
327	2.2268	2.2321	0.0221	0.0478	0.128192
328	2.1936	2.1285	0.0215	0.0454	0.131936
329	2.3308	2.0853	0.0212	0.0486	0.128448
330	2.2183	2.1035	0.0213	0.0474	0.128576
331	2.1491	2.0934	0.0211	0.0307	0.1304
332	2.1644	2.0803	0.0212	0.0299	0.132224
333	2.1531	2.1355	0.0216	0.029	0.132096
334	2.1438	2.3366	0.0216	0.0304	0.13168
335	2.204	2.0795	0.0211	0.0351	0.132416
336	2.431	2.1045	0.0211	0.0467	0.128864
337	2.1373	2.0645	0.0212	0.0263	0.132192
338	2.1585	2.0869	0.0212	0.0257	0.131936
339	2.1176	2.0729	0.0211	0.0248	0.131168
340	2.1403	2.1218	0.0253	0.0249	0.132192
341	2.1259	2.2982	0.0216	0.0248	0.130752
342	2.2343	2.0938	0.0212	0.0564	0.131904
343	2.3993	2.1417	0.0211	0.0477	0.12848
344	2.1728	2.3752	0.022	0.0405	0.132128
345	2.2373	2.5394	0.024	0.0502	0.132352
346	2.4773	2.1645	0.0216	0.0505	0.130848
347	2.6635	2.1224	0.0246	0.0622	0.130944
348	2.2829	2.1025	0.0228	0.064	0.132224
349	2.2199	2.1009	0.0214	0.0472	0.128064
350	2.1717	2.0942	0.0212	0.0343	0.130848
351	2.1831	2.0705	0.0219	0.0417	0.130976
352	2.1553	2.0512	0.0212	0.0296	0.131648
353	2.1278	2.0635	0.0218	0.0275	0.13104
354	2.1048	2.0736	0.0212	0.0254	0.13072
355	2.1308	2.0658	0.0208	0.0331	0.12848
356	2.1402	2.0625	0.0211	0.0332	0.128288
357	2.1211	2.0889	0.0212	0.0261	0.131744
358	2.1154	2.0646	0.0209	0.025	0.130656
359	2.1424	2.0729	0.0221	0.0249	0.13184
360	2.1172	2.0712	0.0212	0.0246	0.130752
361	2.1273	2.0907	0.0214	0.0252	0.131008
362	2.1286	2.081	0.0211	0.0276	0.128352
363	2.1625	2.055	0.0217	0.036	0.128032
364	2.1364	2.0647	0.0211	0.0261	0.131296
365	2.1095	2.0628	0.0211	0.0257	0.130752
366	2.1201	2.0606	0.0211	0.026	0.131168
367	2.1164	2.0636	0.0254	0.0253	0.13168
368	2.1135	2.6039	0.0229	0.0248	0.131296
369	2.1258	2.5695	0.0227	0.0284	0.13152
370	2.686	2.5722	0.023	0.0417	0.127936
371	2.6358	2.5571	0.023	0.0311	0.132032
372	2.6468	2.5872	0.0229	0.0369	0.131968
